                              STAR      CAPITAL
  RACE       SCORE    PLANETS  BASES     SHIPS     FREIGHTERS
 Fed          162      3        1         1         2  
 Lizard       141      1        1         1         1  
 Cyborg       141      1        1         1         1  
 Privateer    140      1        1         1         0  
 Colonial     140      1        1         1         0  
 Fascist      131      1        1         0         1  
 Rebel        131      1        1         0         1  
 Bird Man     130      1        1         0         0  
 Crystalline  130      1        1         0         0  
 Empire       130      1        1         0         0  
 Robotic      130      1        1         0         0  
